"YEAR","MONTH","DAY","STID","RAIN","TMAX","TMIN","HAVG","2AVG","ATOT","TAVG","HMAX","HMIN","2MAX","DAVG","DMAX","DMIN","AMAX","TR60","S60AV"
2017,5,26,HINT,0.00,87.84,62.64,62.79,7.16,28.88,76.10,84.21,45.05,14.13,61.89,66.53,47.50,986.26,1.7846,67.21
2017,5,27,HINT,0.00,91.85,67.93,64.11,8.94,26.24,79.16,99.46,27.32,21.79,63.81,71.22,52.91,1102.95,1.7797,68.68
2017,5,28,HINT,0.00,81.63,59.99,55.75,7.53,30.19,70.47,93.71,21.86,22.39,51.26,61.78,38.03,991.95,1.7795,69.97
2017,5,29,HINT,0.00,86.99,53.15,47.79,3.28,25.03,71.38,83.41,19.90,12.43,47.84,52.81,39.96,1090.02,1.7813,70.67
2017,5,30,HINT,0.00,87.80,59.72,55.34,5.53,22.85,72.01,80.48,28.56,10.65,53.81,58.50,50.07,1114.56,1.7832,70.98
2017,5,31,HINT,0.00,88.92,58.89,58.40,6.50,27.61,74.28,93.03,25.47,13.89,56.47,61.14,47.35,970.35,1.7894,71.28
2017,6,1,HINT,0.00,88.32,63.07,66.64,6.09,27.91,73.29,93.78,32.44,21.56,59.91,62.95,53.71,1075.36,1.7910,71.91
2017,6,2,HINT,0.39,71.67,62.71,96.68,4.37,5.98,66.50,100.00,85.29,7.90,65.50,68.10,61.29,424.21,1.7896,72.48
2017,6,3,HINT,0.00,81.84,65.26,87.73,3.81,15.64,70.63,100.00,55.52,10.10,66.41,67.74,62.72,1094.13,1.7943,72.06
2017,6,4,HINT,0.01,81.97,64.62,86.13,4.61,17.32,71.27,100.00,58.68,10.78,66.46,68.15,64.53,1071.97,1.7951,71.87
2017,6,5,HINT,0.00,86.43,65.68,75.00,6.15,23.76,74.92,100.00,41.53,14.43,65.26,68.24,58.82,1157.49,1.8015,71.98
2017,6,6,HINT,0.32,91.20,59.88,62.45,4.60,27.67,77.09,96.87,32.52,19.91,60.67,66.19,56.88,1063.85,1.8118,72.48
