"YEAR","MONTH","DAY","STID","RAIN","TMAX","TMIN","HAVG","2AVG","ATOT","TAVG","HMAX","HMIN","2MAX","DAVG","DMAX","DMIN","AMAX","TR60","S60AV"
2021,5,20,FTCB,0.00,77.13,62.22,80.33,6.89,18.27,69.04,96.74,57.94,15.74,62.30,64.96,60.09,1015.91,1.6277,67.54
2021,5,21,FTCB,0.00,83.34,62.94,78.48,10.72,23.09,72.73,97.99,50.19,15.65,64.91,68.24,62.23,1142.36,1.6332,67.89
2021,5,22,FTCB,0.28,77.47,68.63,87.91,9.63,13.63,71.98,96.72,73.74,16.29,68.11,70.85,65.85,830.88,1.6368,68.57
2021,5,23,FTCB,0.15,71.20,61.59,91.78,9.47,6.32,67.92,98.31,74.88,16.18,65.37,67.77,60.81,403.64,1.6389,69.02
2021,5,24,FTCB,0.02,72.10,61.75,92.96,9.29,6.93,67.25,99.02,85.52,15.50,65.13,69.39,61.10,587.02,1.6448,68.69
2021,5,25,FTCB,0.00,78.73,63.79,84.49,6.93,16.61,69.99,97.50,63.61,15.41,64.84,67.34,61.54,986.91,1.6511,68.40
2021,5,26,FTCB,0.00,89.89,65.44,78.15,8.86,23.31,77.20,99.24,50.06,18.28,69.18,72.43,64.31,1110.12,1.6544,68.74
2021,5,27,FTCB,0.00,91.22,68.20,75.31,12.19,20.73,78.29,93.24,51.13,19.93,69.26,72.65,64.22,1125.97,1.6559,69.94
2021,5,28,FTCB,0.00,74.91,59.13,71.25,7.20,22.03,66.00,93.73,45.80,17.35,55.70,64.16,49.72,1130.08,1.6568,70.75
2021,5,29,FTCB,0.00,76.26,56.88,70.83,6.95,28.37,65.53,88.83,47.45,11.53,55.15,58.21,51.17,965.94,1.6641,70.39
2021,5,30,FTCB,0.00,76.08,56.61,81.53,8.76,20.21,66.01,92.50,68.22,16.99,60.04,65.71,53.64,1127.01,1.6684,70.41
2021,5,31,FTCB,1.72,64.69,59.54,93.82,7.43,4.70,61.98,98.81,85.38,14.46,60.16,62.07,57.55,237.94,1.6623,70.29
2021,6,1,FTCB,0.00,72.41,58.03,83.73,5.57,16.80,63.30,97.42,61.22,9.85,57.93,60.25,56.44,1200.70,1.6119,69.29
2021,6,2,FTCB,0.17,76.60,55.35,83.01,2.44,19.00,64.89,99.72,45.08,7.93,58.78,62.85,53.15,1229.35,1.6134,69.00
2021,6,3,FTCB,0.00,81.43,57.49,76.28,4.10,21.46,70.07,97.87,48.06,12.38,61.48,65.50,56.57,1109.10,1.6145,69.21
2021,6,4,FTCB,0.00,85.14,58.98,68.73,5.56,29.41,72.93,99.27,36.07,12.76,60.20,65.13,54.58,1006.58,1.6131,69.91
2021,6,5,FTCB,0.00,79.32,59.61,81.05,5.53,18.21,69.96,98.12,60.59,12.25,63.40,66.35,58.77,1139.97,1.6162,70.80
2021,6,6,FTCB,0.00,83.59,63.10,83.71,7.84,18.00,72.75,99.39,60.01,13.99,67.09,71.41,62.84,1101.40,1.6207,71.14
2021,6,7,FTCB,0.00,85.68,66.97,78.22,4.96,20.87,75.40,97.03,51.97,11.49,67.50,71.08,63.61,799.72,1.6251,71.55
2021,6,8,FTCB,0.00,90.73,68.04,74.10,5.66,26.82,78.37,95.04,43.58,11.27,68.40,71.69,65.38,1010.40,1.6290,72.11
2021,6,9,FTCB,0.00,93.76,71.13,79.92,9.61,24.16,82.00,99.08,55.71,17.27,74.58,77.03,68.70,1031.75,1.6296,72.98
2021,6,10,FTCB,0.00,92.52,70.57,82.78,8.25,24.61,81.33,99.03,62.54,15.98,75.11,79.04,70.15,1038.94,1.6318,73.86
2021,6,11,FTCB,0.00,95.32,73.15,74.57,10.36,27.31,83.77,94.10,51.89,17.49,74.15,76.94,71.31,996.80,1.6323,74.69
